text,source,offset,predicted_label
"Doing what we already know how to do well does nt make you different and does not make happy comparing with creating new things . 
",Doing,0,0
"Doing what we already know how to do well does nt make you different and does not make happy comparing with creating new things . 
",know,4,0
"Doing what we already know how to do well does nt make you different and does not make happy comparing with creating new things . 
",do,7,0
"In my opinion i stongly agree that successful is to create new things and take risks for several reasons . 
",agree,5,0
"First of all , it is a great thing to be promenet and different than others . 
",be,10,0
"So this person must be famous and every body wont to work with them . 
",be,4,0
"In addition , you can tase the real successful if you took risks and adventures . 
",tase,5,0
"In conclosion , i wiil be a dentist and i will create new things for my world because that s the real successful . 
",i,3,0
"In conclosion , i wiil be a dentist and i will create new things for my world because that s the real successful . 
",wiil,4,0
"In conclosion , i wiil be a dentist and i will create new things for my world because that s the real successful . 
",be,5,0
"In conclosion , i wiil be a dentist and i will create new things for my world because that s the real successful . 
",create,11,0
"I hate to do my regular work without trying to do new things .
",hate,1,0
"I hate to do my regular work without trying to do new things .
",do,3,0
"I ultimately agree with the fact that it is better to be specialized on a specific subject than to spread energy on different subjects . 
",agree,2,0
"I ultimately agree with the fact that it is better to be specialized on a specific subject than to spread energy on different subjects . 
",be,11,0
"However I say ultimately , because being and staying focused on one subject means always to discard other subjects . 
",say,2,0
"The reason behind his you build up some Spikes of knowledge on a broad knowledge platform . 
",build,5,0
"These sharp spikes of knowledge will allow you to promote yourself and to pull with you the society forward . 
",allow,6,0
"These sharp spikes of knowledge will allow you to promote yourself and to pull with you the society forward . 
",promote,9,0
"These sharp spikes of knowledge will allow you to promote yourself and to pull with you the society forward . 
",pull,13,0
"Having said that a deep knowledge of one subject can only be based on the focus on a certain subject and none us are born with a direction and with a goal ready to be accomplished from the day of birth . 
",Having,0,0
"Instead we should find our path and our focus by ourself and to do that we need a broad range of knowledge . 
",find,3,0
"Instead we should find our path and our focus by ourself and to do that we need a broad range of knowledge . 
",do,13,0
"Instead we should find our path and our focus by ourself and to do that we need a broad range of knowledge . 
",need,16,0
"He will always take the best financial decision and at the same time will always have a strong opposition inside his team or industry , because as he does nt know the history and the culture of the people behind the business , he will never be able to respect them . 
",take,3,0
"He will always take the best financial decision and at the same time will always have a strong opposition inside his team or industry , because as he does nt know the history and the culture of the people behind the business , he will never be able to respect them . 
",have,15,0
"Therefore I think in an early stage it is positive to broad our knowledge on different subjects like : history , languages , politics , arts , mathematics , Phisics , biology , economy ... 
",think,2,0
"However at a middle or later stage we should focus or refocus on the subjects we love more or on the subjects which will give us more satisfactions . 
",focus,9,0
"However at a middle or later stage we should focus or refocus on the subjects we love more or on the subjects which will give us more satisfactions . 
",refocus,11,0
"However at a middle or later stage we should focus or refocus on the subjects we love more or on the subjects which will give us more satisfactions . 
",love,16,0
"However at a middle or later stage we should focus or refocus on the subjects we love more or on the subjects which will give us more satisfactions . 
",give,24,0
"I have received an education on differents topics from latin to mathematics , I have study engineering and I got a doctorate degree in engineering , however one day I found out that my life was in business , therefore after 12 years working in sales marketing , I decide to build up my knoledge focused on business matters and to pursue an MBA study and I am sure that this will bring success to myself and to the people around me .
",have,1,0
"Have you ever felt that you are successful enough that you do nt need to try other things and become successful in other things you did not try before . 
",Have,0,0
"Have you ever felt that you are successful enough that you do nt need to try other things and become successful in other things you did not try before . 
",felt,3,0
"Successful people tend to try new things other than the ones they already succeeded in , because as successfuls , they truly believe that they have to keep working hard to achieve more goals and have various careers where they succeeded in , even if they had to pay their own risk on the trials of becoming successful in more careers . 
",tend,2,0
"Successful people tend to try new things other than the ones they already succeeded in , because as successfuls , they truly believe that they have to keep working hard to achieve more goals and have various careers where they succeeded in , even if they had to pay their own risk on the trials of becoming successful in more careers . 
",try,4,0
"Successful s ambitions do not stop at a particular point , they always have ambitions and they always want to achieve more no matter how much risk this will cause them . 
",do,3,0
"Successful s ambitions do not stop at a particular point , they always have ambitions and they always want to achieve more no matter how much risk this will cause them . 
",stop,5,0
"Successful s ambitions do not stop at a particular point , they always have ambitions and they always want to achieve more no matter how much risk this will cause them . 
",have,13,0
"Successful s ambitions do not stop at a particular point , they always have ambitions and they always want to achieve more no matter how much risk this will cause them . 
",want,18,0
"Successful s ambitions do not stop at a particular point , they always have ambitions and they always want to achieve more no matter how much risk this will cause them . 
",achieve,20,0
"They believe that to success , you have to try , risk and work hard , and they work based on that theory . 
",believe,1,0
"They believe that to success , you have to try , risk and work hard , and they work based on that theory . 
",have,7,0
"They believe that to success , you have to try , risk and work hard , and they work based on that theory . 
",try,9,0
"They believe that to success , you have to try , risk and work hard , and they work based on that theory . 
",work,13,0
"Moreoever , if successful people tried new things and they failed , they would nt be discouraged and they would try the same thing again and again , until they succeed . 
",try,20,0
"Successful people always like to take challanges and achieve their goals in any case , and they do not accept failure . 
",take,5,0
"Successful people always like to take challanges and achieve their goals in any case , and they do not accept failure . 
",achieve,8,0
"Successful people always like to take challanges and achieve their goals in any case , and they do not accept failure . 
",do,17,0
"Successful people always like to take challanges and achieve their goals in any case , and they do not accept failure . 
",accept,19,0
"They might fail , but they wo nt lose hope . 
",fail,2,0
"They might fail , but they wo nt lose hope . 
",nt,7,0
"They keep their hopes as high as they were and try again on the same thing , until they success and become successful in another thing . 
",keep,1,0
"All in all , I personally think that since successful people are optimistic , hard working , smart , and like challenging , they will always want to try new things and take risks rather than just convincing themselves that what they have succeeded in is enough . 
",think,6,0
"They would do more things than what they already know how to do well , and I believe that they will success one time even if they failed several times .
",do,2,0
"They would do more things than what they already know how to do well , and I believe that they will success one time even if they failed several times .
",know,9,0
"They would do more things than what they already know how to do well , and I believe that they will success one time even if they failed several times .
",do,12,0
"They would do more things than what they already know how to do well , and I believe that they will success one time even if they failed several times .
",believe,17,0
"In my opinion , I disagree with the idea in the statement that the best way to travel is in a group led by a tour guide . 
",disagree,5,0
"I d like to give several reasons belows . 
",d,1,0
"I d like to give several reasons belows . 
",give,4,0
"Of course I also visit very famous place , for example the church of Kelln , but at that time , I was so impressed by the beauty of that small church . 
",visit,4,0
"I think that tour group tend to visit only popular place . 
",think,1,0
"I think that tour group tend to visit only popular place . 
",tend,5,0
"I think that tour group tend to visit only popular place . 
",visit,7,0
"Secoundly , I can be excited by planning a tour itself . 
",be,4,0
"When I travel to somewhere , I always take long hours for planning and organizing the schedule of trip . 
",travel,2,0
"When I travel to somewhere , I always take long hours for planning and organizing the schedule of trip . 
",somewhere,4,0
"When I travel to somewhere , I always take long hours for planning and organizing the schedule of trip . 
",take,8,0
"I d like to consider how I will go round , where I will go and so on . 
",d,1,0
"I d like to consider how I will go round , where I will go and so on . 
",consider,4,0
"I d like to consider how I will go round , where I will go and so on . 
",go,8,1
"I can learn the geographic condition of a place or the weather pattern of a place by planning by myself . 
",learn,2,0
"Planning travel is very exiciting activity . 
",Planning,0,0
"Of course , I ca nt deny that there should exist some advantages in traveling by a tour group . 
",nt,5,0
"Of course , I ca nt deny that there should exist some advantages in traveling by a tour group . 
",exist,10,0
"If we travel by a tour group , we can receive detail explanation about some histrical heritage or cultural things . 
",travel,2,0
"If we travel by a tour group , we can receive detail explanation about some histrical heritage or cultural things . 
",receive,10,0
"And we may go a place where we ca nt find by ourself because a tour guide is a proffesional and he or she must knows well about sightseeing spot than us . 
",go,3,1
"And we may go a place where we ca nt find by ourself because a tour guide is a proffesional and he or she must knows well about sightseeing spot than us . 
",nt,9,0
"And we may go a place where we ca nt find by ourself because a tour guide is a proffesional and he or she must knows well about sightseeing spot than us . 
",find,10,0
"This idea may make an equally valid argument for the opposite position . 
",make,3,0
"But on careful consideration , I strongly believe that advantageas brought by traveling individually must exceed those by traveling by a tour group . 
",believe,7,0
"Considering all of the above factors , of course there are some advantages in traveling by a tour group , I find more advantages in making a trip individually . 
",Considering,0,0
"Actually , I tend to change my schedule many times during my trip inherently , I think my nature does nt fit the trip by a tour group . 
",tend,3,0
"Actually , I tend to change my schedule many times during my trip inherently , I think my nature does nt fit the trip by a tour group . 
",change,5,0
"Actually , I tend to change my schedule many times during my trip inherently , I think my nature does nt fit the trip by a tour group . 
",think,16,0
"Trip that I can change the schedule flexiblly is far more fascinating for me .
",change,4,0
"I agree that successful people try new things and take risks rather than only doing what they alerady know how to do well . 
",agree,1,0
"I agree that successful people try new things and take risks rather than only doing what they alerady know how to do well . 
",try,5,0
"I agree that successful people try new things and take risks rather than only doing what they alerady know how to do well . 
",take,9,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",want,2,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",succeed,4,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",have,7,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",get,9,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",have,17,0
"If you want to succeed , you have to get attention and attract people , and you have to get out of the old and current tendencies . 
",get,19,0
"when you think of big business , you have to be imaginative and creative about what will be the next trend in the society and what people need . 
",think,2,0
"when you think of big business , you have to be imaginative and creative about what will be the next trend in the society and what people need . 
",have,8,0
"when you think of big business , you have to be imaginative and creative about what will be the next trend in the society and what people need . 
",be,10,0
"when you think of big business , you have to be imaginative and creative about what will be the next trend in the society and what people need . 
",be,17,0
"People always want to try new things and keep the good things about new ; therefore , doing something what have already known or done will not change your life drastically . 
",want,2,0
"People always want to try new things and keep the good things about new ; therefore , doing something what have already known or done will not change your life drastically . 
",try,4,0
"People always want to try new things and keep the good things about new ; therefore , doing something what have already known or done will not change your life drastically . 
",keep,8,0
"You do nt want to reapeat the same things that someone have done before . 
",do,1,0
"You do nt want to reapeat the same things that someone have done before . 
",want,3,0
"You do nt want to reapeat the same things that someone have done before . 
",reapeat,5,0
"They need something new , exciting , and amusing . 
",need,1,0
"If you want to succeed , you need to try new things . 
",want,2,0
"If you want to succeed , you need to try new things . 
",succeed,4,0
"If you want to succeed , you need to try new things . 
",need,7,0
"If you want to succeed , you need to try new things . 
",try,9,0
"In addition to the new things , you take risks if you want to succeed because taking risks will be always along with trying new things . 
",take,8,0
"In addition to the new things , you take risks if you want to succeed because taking risks will be always along with trying new things . 
",want,12,0
"In addition to the new things , you take risks if you want to succeed because taking risks will be always along with trying new things . 
",succeed,14,0
"Although you are not sure if this will be accepted among people or not , as long as you are in the secured fields which have already known or done , you will never get a chance to succeed , or you will have less oppotunities to succeed . 
",be,8,0
"Taking risks sometimes might cause a big damage , but it might give you a huge success in your life . 
",Taking,0,0
"Taking risks sometimes might cause a big damage , but it might give you a huge success in your life . 
",cause,4,0
"Taking risks sometimes might cause a big damage , but it might give you a huge success in your life . 
",give,12,0
"The computer age which revolutianized every possible aspect in the world has gotten us to what we call the age of knowledge where to specialize in one specific subject is not enough in order to fulfill one s self . 
",revolutianized,4,0
"To do so , nobody is going to be specialized in only one field because now , and more than ever , all fields are related to another . 
",do,1,0
"To do so , nobody is going to be specialized in only one field because now , and more than ever , all fields are related to another . 
",be,8,0
"For instance , let s take real estate . 
",let,3,0
"For instance , let s take real estate . 
",take,5,0
"Therefore , a knowledge in more than one subject can prove a valuable asset when it comes to increasing wealth . 
",prove,10,0
"To seek knowledge is everyone s personal ambition . 
",seek,1,0
"To have knowledge in a lot of subjects is a virtue in society . 
",have,1,0
"To have knowledge in a lot of subjects is a virtue in society . 
",knowledge,2,0
"Take a company that wants to hire a new employee and that has the possibility of choosing two candidates : a person having a business degree who has worked only in one kind of firm all his life , and another holding the same degree who has worked in many differenet trends of business . 
",Take,0,0
"The company should choose the latter since he s been exposed to the world more than the other candidate . 
",choose,3,0
"The company should choose the latter since he s been exposed to the world more than the other candidate . 
",s,8,0
"If you re limited to only one type of education , the chances of you being cheated are very high . 
",re,2,0
"To sum up , being involved in more than one subject is much better than being only involved in one for many reasons such as economic reasons and personal reasons . 
",sum,1,0
"Being more knowledgeable is also rewarding in that it gives a good image and reputation and can serve as a defence against cheating . 
",Being,0,0
"In my opinion , older people enjoy their life more than young people do . 
",enjoy,6,0
"Is he enjoying his life ? 
",Is,0,0
"When you are older and more experienced , handling problem would be easier than when you have to face one in young age . 
",be,11,0
"Since for my father , his life goal as to get the job that he wants and have family is already achieved , he has no concern about his future . 
",get,10,0
"Therefore he can enjoy life much better than my younger brother because he has no concern about life that it makes the life more enjoyable . 
",enjoy,3,0
"Despite those cases , I believe that older people enjoy life more than young people do .
",believe,5,0
"Despite those cases , I believe that older people enjoy life more than young people do .
",enjoy,9,0
"First , any idea or concept should be supported to be more convincable and people can understand , so there should be at least one kind fact that happen or that known to make that idea or that concept is realistic and strong that can people understand . 
",be,7,0
"Second , many idea that do nt have facts disappear with the time because they do nt have any thing that they are based on it , so most people ignore them and they become useless idea until one of the people aprroved it by a fact or some thing like that . 
",do,5,0
"Second , many idea that do nt have facts disappear with the time because they do nt have any thing that they are based on it , so most people ignore them and they become useless idea until one of the people aprroved it by a fact or some thing like that . 
",have,7,0
"Second , many idea that do nt have facts disappear with the time because they do nt have any thing that they are based on it , so most people ignore them and they become useless idea until one of the people aprroved it by a fact or some thing like that . 
",disappear,9,0
"Second , many idea that do nt have facts disappear with the time because they do nt have any thing that they are based on it , so most people ignore them and they become useless idea until one of the people aprroved it by a fact or some thing like that . 
",do,15,0
"Second , many idea that do nt have facts disappear with the time because they do nt have any thing that they are based on it , so most people ignore them and they become useless idea until one of the people aprroved it by a fact or some thing like that . 
",have,17,0
"Third , most of people use facts in the writing or research because it make their writing or research more strong and show people that who wrote this article or did this reasearch knows what he is talking about and the writing or the reasearch would be rich of right instead of hypothesis . 
",use,5,0
"Third , most of people use facts in the writing or research because it make their writing or research more strong and show people that who wrote this article or did this reasearch knows what he is talking about and the writing or the reasearch would be rich of right instead of hypothesis . 
",make,14,0
"I disagree with the following statement that in twenty years there will be fewer cars in use than there are today as following reasons . 
",disagree,1,0
"I disagree with the following statement that in twenty years there will be fewer cars in use than there are today as following reasons . 
",be,12,0
"First , Instead of cars , nothing will be improved and developed in twenty years . 
",be,8,0
"I can not find any special reason which there will be fewer car in use than there are today . 
",find,3,0
"I can not find any special reason which there will be fewer car in use than there are today . 
",be,10,0
"In addition to cars , we use trains , planes and ship everywhere , however , cars are the most useful and convenient for people . 
",use,6,0
"They do not need to walk to the station and airports . 
",do,1,0
"They do not need to walk to the station and airports . 
",need,3,0
"They do not need to walk to the station and airports . 
",walk,5,0
"Second , there will be fewer population in twenty years . 
",be,4,0
"People have their own cars . 
",have,1,0
"For example , in Japan it will have the chance to increase many cars due to traffic circumstances . 
",have,7,0
"For example , in Japan it will have the chance to increase many cars due to traffic circumstances . 
",increase,11,0
"It is said that there will be 25 of old people living . 
",be,6,0
"I think they can not continue to use Japanese railway and subway . 
",think,1,0
"I think they can not continue to use Japanese railway and subway . 
",continue,5,0
"I think they can not continue to use Japanese railway and subway . 
",use,7,0
"It start at 9 oclock and finish at 5 oclock at Japanese companies . 
",start,1,0
"In conclusion , I disagree with the statement that in twenty years there will be fewer cars in use than there are today .
",disagree,4,0
"In conclusion , I disagree with the statement that in twenty years there will be fewer cars in use than there are today .
",be,14,0
"In twenty years from now there would be nothing but cars everywhere and i definitly dont think there would be any way to pretend that there will be fewer . 
",be,7,0
"In twenty years from now there would be nothing but cars everywhere and i definitly dont think there would be any way to pretend that there will be fewer . 
",i,13,0
"In twenty years from now there would be nothing but cars everywhere and i definitly dont think there would be any way to pretend that there will be fewer . 
",be,19,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,1,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,10,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",go,12,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",work,14,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,17,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",pick,19,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,26,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",buy,28,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,40,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",need,45,0
"People need cars and vehicles all the time , they need to go to work , they need to pick they kids from school , they need to buy a second as a birthday gift for their wives , they need to race , they need to brag about new generations of exepensive cars , so that means that nowadays , cars are as much important as water and food and as the population of the world is increasing , we going to need more cars because there will be more people . 
",brag,47,0
"The answer is easy , but the consequance is going to be really devastating . 
",be,11,0
"Lets see , we have a rich family that owns more than two cars , and as many kids they are having it is new car coming with it , not because they really need it , but just for the lexure of it , the bragging and boating that comes among they social classes when they start talking about how many cars they have and what kind of cars it is . 
",see,1,0
"Lets see , we have a rich family that owns more than two cars , and as many kids they are having it is new car coming with it , not because they really need it , but just for the lexure of it , the bragging and boating that comes among they social classes when they start talking about how many cars they have and what kind of cars it is . 
",have,4,0
"On the Second , there is the econimical cars generations , that is the main reason would be nothing but more and more cars every single year m if not saying every single day . 
",be,17,0
"Advertisements make the product be known and they have to help the product to be sell . 
",make,1,0
"Advertisements make the product be known and they have to help the product to be sell . 
",be,4,0
"So factories and societies that product something try to present their product the best they can . 
",present,9,0
"For example , I love going to the cinema and obviously to do that I have to know what is on in the day I want to go ; I must have an idea of which film I m going to watch . 
",love,4,0
"For example , I love going to the cinema and obviously to do that I have to know what is on in the day I want to go ; I must have an idea of which film I m going to watch . 
",go,27,0
"In this way and in this case an advertisement make a product seem much better than it really is . 
",make,9,0
"And this can happen also with foods or drinks . 
",happen,3,0
"So I essentially agree with the statement , but also I think that after some time , after the product was known by the population , people start to speak each other about it and each other they clarify all the aspects , positive and negative , of the product . 
",agree,3,0
"So I essentially agree with the statement , but also I think that after some time , after the product was known by the population , people start to speak each other about it and each other they clarify all the aspects , positive and negative , of the product . 
",think,11,0
"In conclusion , I agree that most adverisements make products seem better than they really are , but I think that sometimes people are able to understand that .
",agree,4,0
"In conclusion , I agree that most adverisements make products seem better than they really are , but I think that sometimes people are able to understand that .
",make,8,0
"In conclusion , I agree that most adverisements make products seem better than they really are , but I think that sometimes people are able to understand that .
",seem,10,0
"I think that most advertisements make products seems much better than they really are . 
",think,1,0
"I think that most advertisements make products seems much better than they really are . 
",make,5,0
"They do make lots of goods more appealing , and colorful or handy . 
",do,1,0
"They do make lots of goods more appealing , and colorful or handy . 
",make,2,0
"I think that any good relaiable goods and services will eventualy control the market , regardless of how many times other products would run their advertisements because they will fail in the selling process as long as they are not as good . 
",think,1,0
"I think that any good relaiable goods and services will eventualy control the market , regardless of how many times other products would run their advertisements because they will fail in the selling process as long as they are not as good . 
",eventualy,10,0
"I think that any good relaiable goods and services will eventualy control the market , regardless of how many times other products would run their advertisements because they will fail in the selling process as long as they are not as good . 
",control,11,0
"I think that any good relaiable goods and services will eventualy control the market , regardless of how many times other products would run their advertisements because they will fail in the selling process as long as they are not as good . 
",run,23,0
"I think that any good relaiable goods and services will eventualy control the market , regardless of how many times other products would run their advertisements because they will fail in the selling process as long as they are not as good . 
",fail,29,0
"When I want to buy a computer , for example , I think first of Dell , although there are lots of other popular brands which they have lots of advertisements that run several times on several TV chanals and even on the newspapers . 
",want,2,0
"When I want to buy a computer , for example , I think first of Dell , although there are lots of other popular brands which they have lots of advertisements that run several times on several TV chanals and even on the newspapers . 
",buy,4,0
"When I want to buy a computer , for example , I think first of Dell , although there are lots of other popular brands which they have lots of advertisements that run several times on several TV chanals and even on the newspapers . 
",think,12,0
"I guess lerning from personal experiance is way more valiable than all the nice things you see and hear about a products in an advertisements . 
",guess,1,0
"I guess lerning from personal experiance is way more valiable than all the nice things you see and hear about a products in an advertisements . 
",lerning,2,0
"You could never talk to a person when you call them after having a problem . 
",talk,3,1
"You could never talk to a person when you call them after having a problem . 
",call,9,0
"for example , in the city where I live I keep seeing this advertisement on TV that talks about how wounderful this chain of resturants are . 
",live,8,0
"for example , in the city where I live I keep seeing this advertisement on TV that talks about how wounderful this chain of resturants are . 
",keep,10,0
"Total wast of money , unless they expect from me to travel to other state to have a dinner .
",expect,7,0
"Total wast of money , unless they expect from me to travel to other state to have a dinner .
",travel,11,0
"Total wast of money , unless they expect from me to travel to other state to have a dinner .
",have,16,0
"I agree with that statement because learning facts are based on understanding ideas . 
",agree,1,0
"Students can not learn new facts without knowing where they came from or what corroberates them . 
",learn,3,0
"When students understand ideas , they become more productive , and more accomplished , because grasping and analizing ideas leads to creativety which leads to creation . 
",understand,2,0
"When students understand ideas , they become more productive , and more accomplished , because grasping and analizing ideas leads to creativety which leads to creation . 
",become,6,0
"When students understand ideas , they become more productive , and more accomplished , because grasping and analizing ideas leads to creativety which leads to creation . 
",analizing,17,0
"Students have differents learning skills , some learn by memorizing conlusions , and some cant memorize without an knowing how they reached to the those conclusions . 
",have,1,0
"Students have differents learning skills , some learn by memorizing conlusions , and some cant memorize without an knowing how they reached to the those conclusions . 
",learn,7,0
"Students have differents learning skills , some learn by memorizing conlusions , and some cant memorize without an knowing how they reached to the those conclusions . 
",memorize,15,0
"Understanding ideas is more difficult that learning facts . a fact can be learned by reading a book or a biography , an idea has to be studied to be learned , which oblidges more thinking . 
",Understanding,0,0
"Understanding ideas is more difficult that learning facts . a fact can be learned by reading a book or a biography , an idea has to be studied to be learned , which oblidges more thinking . 
",be,12,0
"As a result , one who studies new concepts provide more in the community in the future , because what is his or her mind are not just fixed facts , they are ways of thinking . 
",provide,9,0
"and when i say improvement i mean in yourself . 
",say,3,0
"Thats how the process of teaching works as well . 
",Thats,0,0
"Teachers could have just given out books and told students to read them at home and get tested on them the next day . 
",have,2,0
"Wouldnt that have been easier if the point was nt to make students understand what they re taking in school ?
",have,2,0
"I say this for two main reasons . 
",say,1,0
"I mean , if you can concentrate on one subject it will be easier for you to learn lots of things on that subject and you will be able to become prepared . 
",mean,1,0
"I mean , if you can concentrate on one subject it will be easier for you to learn lots of things on that subject and you will be able to become prepared . 
",concentrate,6,0
"I mean , if you can concentrate on one subject it will be easier for you to learn lots of things on that subject and you will be able to become prepared . 
",be,12,0
"I mean , if you can concentrate on one subject it will be easier for you to learn lots of things on that subject and you will be able to become prepared . 
",learn,17,0
"But when I say more practical I refer also to the fact that studing one subject instead of more than one is good for the student s path . 
",say,3,0
"But when I say more practical I refer also to the fact that studing one subject instead of more than one is good for the student s path . 
",refer,7,0
"I mean , once a student has entered the subject he should know what that subject requires , what the important aspects are and he would be able to organise his studies in the best way . 
",mean,1,0
"aintaining your mind open to a lot of subjects is a big effort . 
",aintaining,0,0
"It is true that keep your mind open could be a good thing , giving you a wide range of knowledge , but the question is if this knowledge will be useful in your future . 
",be,9,0
"Companies , or institutions , usually do not hire people who have a generalistic approach , that know a lot of things , but that remain on the surface of them . 
",do,6,0
"Companies , or institutions , usually do not hire people who have a generalistic approach , that know a lot of things , but that remain on the surface of them . 
",hire,8,0
"Companies , or institutions , usually do not hire people who have a generalistic approach , that know a lot of things , but that remain on the surface of them . 
",have,11,0
"Companies , or institutions , usually do not hire people who have a generalistic approach , that know a lot of things , but that remain on the surface of them . 
",know,17,0
"Companies , or institutions , usually do not hire people who have a generalistic approach , that know a lot of things , but that remain on the surface of them . 
",remain,25,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",require,1,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",be,4,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",expert,5,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",become,10,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",have,14,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",get,16,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",discover,21,0
"Companies require people to be expert in something and to become an expert you have to get into things , to discover all the aspects , to prevent all the problems . 
",prevent,27,0
"As for my personal experience I have to say that I m in a class with a very generalistic approach and I think it is not good . 
",have,6,0
"As for my personal experience I have to say that I m in a class with a very generalistic approach and I think it is not good . 
",say,8,0
"As for my personal experience I have to say that I m in a class with a very generalistic approach and I think it is not good . 
",m,11,0
"I m glad that I ve got a solid basic culural background , but I am sincerely worried about my future . 
",m,1,0
"I m glad that I ve got a solid basic culural background , but I am sincerely worried about my future . 
",ve,5,0
"You could ask me why I am in such a class and the answer would be that I do not know . 
",ask,2,0
"You could ask me why I am in such a class and the answer would be that I do not know . 
",be,15,0
"I disagree with the statement . 
",disagree,1,0
"Traveling in a group takes away your freedom in time and space You may find it is easier and safer to move around in a group , but in reality , if you wish to go and stay in a certain place for a certain time , that choice is not possible if the group has a different agenda . 
",Traveling,0,0
"A tour guide can be useful and informative , but this also takes your agency of deciding what to see , where to go . 
",be,4,0
"By positive accidents , I mean your opprotunity to meet people , find a great shop or street by accident , find a new things about the place which may not be marketed in the mainstream tourism . 
",mean,5,0
"By positive accidents , I mean your opprotunity to meet people , find a great shop or street by accident , find a new things about the place which may not be marketed in the mainstream tourism . 
",meet,9,0
"By positive accidents , I mean your opprotunity to meet people , find a great shop or street by accident , find a new things about the place which may not be marketed in the mainstream tourism . 
",find,12,0
"By positive accidents , I mean your opprotunity to meet people , find a great shop or street by accident , find a new things about the place which may not be marketed in the mainstream tourism . 
",find,21,0
"By positive accidents , I mean your opprotunity to meet people , find a great shop or street by accident , find a new things about the place which may not be marketed in the mainstream tourism . 
",be,31,0
"Traveling in a group can take away some occurences that can only happen because you have no agenda or specific information , because you wonder around . 
",Traveling,0,0
"Traveling in a group can take away some occurences that can only happen because you have no agenda or specific information , because you wonder around . 
",take,5,0
"Traveling in a group can take away some occurences that can only happen because you have no agenda or specific information , because you wonder around . 
",happen,12,0
"Traveling in a group can take away some occurences that can only happen because you have no agenda or specific information , because you wonder around . 
",have,15,0
"If you travel to Hong Kong , you find there are restaurants that are specifically for tourists . 
",travel,2,0
