,source,text
184,many (5),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
185,9th (2),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
186,Jewish (31),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
187,women (34),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
189,young (30),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
190,keep (28),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
191,common (23),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
192,escaped (27),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
193,jumped (14),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
194,floor (118),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
195,weight (41),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
196,stealing (33),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
197,9th (17),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
198,reached (5),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
199,9th (7),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
200,eighth (5),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
202,Trapped (0),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
203,started (2),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
205,unauthorized (38),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
206,taking (37),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
207,died (7),"A fire started on the eighth floor. By the time the fire reached the 9th floor some workers were able to make it out using the building's one elevator, while others escaped via one of the building's stairwells before it collapsed under the weight of hundreds of panicked workers. But the 9th floor workers who were left behind discovered that the door leading to the Washington Square stairway was locked a common practice, designed to keep the young seamstresses from stealing factory goods or taking unauthorized breaks. Trapped in the fire, many workers died in the flames ; still others jumped from the 9th floor and died from their injuries. 146 workers died, most of them Jewish and Italian women in their teens and twenties."
208,observer (1),ACLU observer Mary Ellen Schutz on the job 9/12/12.
209,glance (2),A quick glance around the region tells you all you need to know about rulers who swam against the spring tide.
210,tells (6),A quick glance around the region tells you all you need to know about rulers who swam against the spring tide.
211,quick (1),A quick glance around the region tells you all you need to know about rulers who swam against the spring tide.
212,clip (3),5 minute video clip of Senator Slom's 40 day legislative wrap-up.
214,legislative (11),5 minute video clip of Senator Slom's 40 day legislative wrap-up.
215,wrap-up (12),5 minute video clip of Senator Slom's 40 day legislative wrap-up.
217,minute (1),5 minute video clip of Senator Slom's 40 day legislative wrap-up.
219,filed (4),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
220,German (1),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
221,endorsing (3),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
223,criminal (6),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
224,DB (24),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
227,DB (7),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
228,class-A (6),A German judge has filed a criminal complaint against Ms. Merkel for endorsing a crime. That Judge must be a class-A DB.
229,allow (5),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
230,similar (38),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
232,exchanges (30),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
233,federal (18),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
234,-0.15,"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
235,purchase (22),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
236,private (23),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
237,reproductive (41),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
238,package (39),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
239,new (27),"Additionally, healthcare reform will allow those who are currently uninsured with incomes above 133 % of the federal poverty line to purchase private insurance through the new health care exchanges, most of which will provide a similar package of reproductive healthcare to what Medicaid offers."
240,Island (85),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
241,percent (17),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
242,same (15),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
243,carried (8),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
244,mocked (10),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
245,is (15),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
246,peddles (9),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
247,false (10),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
248,put (2),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
249,be (31),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
250,hope (53),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
251,general (13),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
252,wrote (9),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
253,won (1),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
254,Audacity (14),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
256,saying (7),"A week earlier, your then-opponent, Senator Hillary Clinton mocked your message at the same venue. I put hope on my signs, I wrote a book called the Audacity of Hope, you said. Now Senator Clinton and others are saying he peddles false hope, The implication is if you talk about hope, then you must be naive, your head must be in the clouds. Mrs. Clinton won the Rhode Island primary but you carried the state in the general election with 63 percent of the vote."
258,voluntary (14),"A cabinet of millionaires have decided that libraries, healthcare, education funding, voluntary services, sports, the environment, the disabled, the poor and the elderly must pay the price for the recklessness of the rich."
259,pay (31),"A cabinet of millionaires have decided that libraries, healthcare, education funding, voluntary services, sports, the environment, the disabled, the poor and the elderly must pay the price for the recklessness of the rich."
260,cabinet (1),"A cabinet of millionaires have decided that libraries, healthcare, education funding, voluntary services, sports, the environment, the disabled, the poor and the elderly must pay the price for the recklessness of the rich."
261,libraries (7),"A cabinet of millionaires have decided that libraries, healthcare, education funding, voluntary services, sports, the environment, the disabled, the poor and the elderly must pay the price for the recklessness of the rich."
262,decided (5),"A cabinet of millionaires have decided that libraries, healthcare, education funding, voluntary services, sports, the environment, the disabled, the poor and the elderly must pay the price for the recklessness of the rich."
263,foreclosure (10),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
264,devastating (13),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
265,problem (19),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
266,special (18),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
267,limbo (36),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
268,legal (35),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
270,shows (7),"Alex Kotlowitz, All Boarded Up Kotlowitz shows how the foreclosure wave is devastating Clevland, with a special problem of houses that have been all but completely abandoned by banks, left to a legal limbo of non-ownership."
272,practice (17),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
275,lifts (3),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
276,violates (80),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
280,discriminatory (70),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
281,different (22),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
282,protected (6),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
283,referred (18),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
284,three-judge (1),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
285,individual (27),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
286,valid (35),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
287,temporary (5),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
288,lifts (3),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
289,relieve (25),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
290,personal (74),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
291,pharmacy (124),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
292,law (38),"A three-judge panel of the U.S. Court of Appeals for the Ninth Circuit wrote that one's First Amendment right to freely practice one's religion does not relieve an individual of the obligation to comply with a valid and neutral law of general applicability, and thata ny refusal to dispenseregardless of whether it is motivated by religion, morals, conscience, ethics, discriminatory prejudices, or personal distaste for a patientviolates the rules. This ruling lifts a temporary injunction granted by the U.S. District Court in Seattle, which protected pharmacists who refused to dispense Plan B so long as they referred patients to a different pharmacy where it was available."
