,text,source,offset
732,Imagine the voices that would come about from the people when a plan to make this law arises .,voices,2
733,"Even if it doesnottake a law to try to change people s awareness , I can not come up with another option .",,
734,"For the reasons I mentioned above , I believe it is impossible to decrease the number of cars in use than there are today in twenty years .",,
735,"To do so , there needs to be other ways people can tranport , which they could feel comfortable and convenient as cars .",,
736,"Of course , there are places around the world , for example Tokyo , where subways have been well developed and people donotneed cars to get around .",,
737,"However , from the experience I had in the United States , I would have to say that people there wouldnotlike that .",,
738,A key to answer to this question is to think about the different purposes of study .,,
739,"Certainly , a specialization in a specific academic topic is essential to do any research .",,
740,"First because the specialization brings to a more deep knowledge , and then to a better comprehension .",deep,8
741,"Besides , if you want to say any orginal thing concerning a subject , you will have to know almost all has already been done or written .",,
742,"In this sense , a focussed study is fundamental .",focussed,5
743,"On the other hand , if you want to reasearch , a broad knowledge is surely useful .",broad,12
744,"Your mind will be more open , and outside of your topic you will find different approach to problems that can help you .",open;outside;find,5;8;14
745,You will may also bring ideas from other fields to your specific one .,bring;from;fields,4;6;8
746,"You will be able to use the analogy to resolve you problems , that is a very powerful method .",powerful,17
747,"From these observations , is surely better not to specialize .",,
748,"If the purpose of the study is merely to stay in the world with more instruments , a person that has studied many different topics will be more cultured .",instruments,15
749,So he or she will be in a better position than anyone that hasnotstudied or that has studied only one thing .,,
750,It will also be more difficult to betray him or her .,,
751,"Whatever are your purposes , if you donotstop studying , you will be always curious , and your brain will always be active .",active,24
752,"Concerning this , there two other reasons that support the idea of not to restrict the fields of interest .",restrict;fields,14;16
753,"Once you have read all has been written on you topic , will you be able to start studying a different subject , or , on the contrary , you wonot?",,
754,"It is known that any different topic involves a different part of brain ; it is vital for the development of the whole brain not to specialize , but to learn about very different subjects , like music , literature , sciences .",part;whole,10;22
755,"On conclusion , is better not to spend all you efforts on only one topic , but to study how much subjects as you can .",spend,7
756,"It will help you in your work , in your life , and will keep safe longer your brain .",keep;safe,14;15
757,I partially agree with the statement .,,
758,I consider it true for a certain kind of products and false for other kind of products .,,
759,"I will explain my opinion by going through the purpose of advertisement , how it works and some practical examples of how it could actually improve a product or just how it could only make it seem better .",going,6
760,The purpose of advertisement is to express one or more ideas related to the product that is advertised in order to increase the appreciation of the product and therefore to convince to buy it or eventually just to agree with the message the advertisement wants to communicate .,message,41
761,"The final image that the advertisement gives about the subject could be true or false , bad or good , but anyway if the product is ment to be just a carrier of that image or cluster of ideas associated , the advertisement is functional to the improvement of the product .",image;carrier;image,2;31;34
762,Examples of a product meant to carry an idea are generally status symbols or fashion products .,carry,6
763,"Typically a purse or a very expensive watch have basic functions regarding their original purpose , but these objects are mostly considered for what they look like and the sensation they give due to esthetic values that determine the quality of an image : in fact , they could even not be functional but still used !",image,42
764,The advertisement increases or eventually refines the ideas associated with the object so that the messages advertised are totally functional with the product .,increases;refines;messages,2;5;15
765,Another example for these kind of products are all types of sportswares to which the advertisement gives the impression that by using it the performance would increase .,,
766,Self suggestion in this case actually would increase the performance due to the image carried by the product .,image;carried,13;14
767,"Examples of advertisments that make products seem much better than they really are , are those products that do not carry image importance , but that just need to be functional .",carry;image,20;21
768,A simple example could be a set of knives that the advertisement shows to be very handy and that cut very well but only beacuse in the demonstration only cooked vegetables were cut .,handy,16
769,Another example could be a tool box set that looks great and shiny but is made of cheap materials that deform easily upon medium mechanical stress .,shiny;cheap,12;17
770,"A lecture may be a useful , but boring way to teach a person about a country or a city .",,
771,"Travelling , on the other hand , is a very unique way to learn because people gain the knowledge while having fun .",gain,16
772,"Not only does it teach about a historical aspect or a specific condition in the country or city , but it also gives the people the opportunity to live within what they are learning , and to actually be able to see , feel and even touch what they are learning about .",teach;gives,4;22
773,"A person , however , can not learn just by seeing or being in the place ; the best way to get the most out of the travel is to travel in a group led by a tour guide .",get;the;most;out;of,21;22;23;24;25
774,"A tour guide is an expert who will give all the interesting historical , technological and even social facts and beauties of the place a person visits .",give,8
775,It is more fun if you listen to a person talking than just reading a book or asking people .,,
776,A tour guide will show you places you may not be able to reach or know about by yourself .,,
777,"Also , if you have any questions about anything in a trip , the tour guide is a person who is already there to help you .",,
778,"Travelling with a tour guide and a group is much safer than traveling alone , especially if it is a place not familiar or is not being visited before by the traveller .",familiar,22
779,There is a lesser chance for a person to get lost in a new place if the person was with a group led by a tour guide .,,
780,"The place may also be dangerous , such as theft or kidnapping .",,
781,"When you are with a group and a tour guide , it is less likely for you to be kidnapped or rubbed .",,
782,"And so , traveling alone may be fun , but the consequences of it can be dangerous or less useful for the individual .",,
783,"However , traveling with a group and a tour guide is both a fun means and an affective way of gaining knowledge .",gaining,20
784,I really do not agree that young people enjoy life more than the older do .,,
785,I think they enjoy different areas of life but with the same intensity .,areas;intensity,5;12
786,It looks like that young people are having fun with a lot of physical activities because at that stage of their life the body is always full of energy and rich of sensations .,stage;full;rich,18;26;30
787,"On the other side I see a lot of old people prefer mental activities such as reading , meditation and conversation .",,
788,This happens just because at their stage of life they learn and take advantage of their mental skills .,stage;advantage,6;13
789,"For exemple , you can see in the same park a group of kids having a blast during a soccer game , and their grandparents sitting on a bench and be completly immerse in a conversation or reading a book .",blast;immerse,16;32
790,Even with music we have two different worlds : young generation enjoy fast and laud music that they dance till they drop on the floor .,worlds;drop;on;the;floor,7;21;22;23;24
791,Adults get excited with less hectic music that they can listen and dance as well .,hectic,5
792,"But , if you go to a dance studio , you can see that regardless the age and the kind of music people is dancing , everybody is enjoying that activity .",,
793,The intencity they put in what they are doing and the reward they get from what they are doing is not related to their age .,intencity;put;in;reward;get;from,1;3;4;11;13;14
794,They just get from different sources of joy Sources that are more fitting with their physical and mental status of the age they have .,get;from;sources;Sources;fitting,2;3;5;8;12
795,"My impression is that both , young and old people get a lot of joy from the activites that they choose .",get,10
796,"Like I said at the begining , they choose very different ways to spend their time but the intencity and pleasure level they achive , I am sure is the same .",spend;intencity,13;18
797,"If we look at official statistics of the industrialized and developing world , we immediately realize that the number of cars has been constantly increasing over time .",,
798,In some cases the growth rate has increased too .,growth,4
799,Therefore I would be tempted to say that I disagree with statement .,tempted,4
800,"However , a more careful analysis should be performed .",,
801,"For instance , we should take into account that public transports have become a must in several cities in the world because parking space is limited and there is so much traffic that it would be impossible to arrive at work on time if people went by car .",,
802,"A lot of countries have given a lot of incentives towards more environment-friendly means of transportation such as gas or electricity-lowered ones , reducing the price for tickets .",,
803,At the same time a charge has to be paid to enter the center of a lot cities .,,
804,Therefore there are elements that could certainly discourage the use of private cars and encourage the use of public transports .,elements,3
805,"Up to here , we have talked about the use of public transports within cities , but similar arguments could be made for long-distance journeys .",,
806,Now-cost airlines have spread out throughout all Europe .,spread;out,3;4
807,High-speed railways are being built and there are a lot of high speed trains already in operations in Japan .,,
808,"All these technologies responds to a particular need , that is the possibility of moving faster from one town to another in a very short period of time .",responds,3
809,"This , for obvious reasons , can not be achieved by using a private car .",achieved,9
810,"For instance , in order to come and take this test I took a high-speed train from Naples to Rome which takes only one hour .",takes,21
811,"Hence , I did not have to wake up too early this morning , I took the underground , and the train , then the underground in Rome .",,
812,I had no parking problems at all and this evening I can attend my best friend s birthday party back in Naples .,,
813,"Probably , by using my own car this would have been much more difficult and stressful , if not impossible .",,
814,"In conclusion , if I follow the line of reasoning above I have to agree with the statement .",follow;the;line,5;6;7
815,"Using alternative means of transportation to cars is more comfortable in many occasions and it is becoming more and more comfortable over time , then the number of cars should decrease in twenty years .",comfortable;comfortable,9;20
816,I totally agree with the idea that young people enjoy life more than older people .,,
817,"Young people have a lot of lifetime , healthy , and have many good communities .",have,2
818,The first reason is that they have a lot of lifetime .,have,6
819,"Most of people in my country , Japan , live more than 75 years .",,
820,"Therefor , young people like my age , 25 years old , we have more about 50 years lifetime .",have,13
821,"We can buy a lot of things with money ; however , we canotbuy any time .",buy,15
822,Time is one of the most important tings to enjoy our life so I think young people can enjoy life a lot .,,
823,The next reason is that young people are really healthy .,,
824,To be healthy is really important to enjoy our life .,,
825,"If we are healthy , we can do everything what we want .",,
826,"We can do every kind of job what we want , and we can study a lot in everywhere .",,
827,"We can do every kind of sports to have enjoyable time , and can travel everywhere that we want .",,
828,"Even if we donothave much money to do entertainment or other things , it is possible to make money to do what we want .",,
829,The third reason is that young people have a lot of community .,have,7
830,"Young people unsually keep in touch with their friends from their hometown , school , and so on .",keep;in;touch,3;4;5
831,"They both young and have a lot of time , so that they can enjoy a lot of things together .",have,4
832,"Also if we have a lot of community , maybe we can get a lot of help .",have,3
833,"It is really helpful and that can make our life going well , so that we can enjoy our life itself a lot .",going,10
834,It is really fun to spend time with other people .,spend,5
835,To keep a good relationship with others can make our life great .,keep,1
836,Thus I totally agree with the idea that young people enjoy life more than old people .,,
837,"I totally agree with this statement , although it is rather simplistic .",,
838,"I think in fact that it is true that most advertisements make products seem much better than they are , but maybe this is just due to the location of the advertisement for example a beach or a wonderful house or because of the short time they have to present the product , so sometimes a thing is shown really fast , when it is actually not .",,
839,"Nevertheless I think that these are the only aspects that could be justified , but they are marginal aspects , not the core ones .",marginal;core,17;22
840,It is a shame to make something seem fabulous when it is absolutely not or when it does not function at all .,,
841,I believe that the media companies should avoid this kind of false advertising .,,
842,"Many surround the product or the brand with fantastic characteristics , implying that the people who wear it or buy it are cool and special .",surround;fantastic,1;8
843,"I strongly believe that this is extremely dangerous for the young spectators , who are particularly sensitive to these aspects and have not a defined personality yet , so they are easily convinceable .",dangerous;defined,7;24
844,"Moreover some could be dangerous even for adults : for example the advertisements on diet products , which are provided with false witnessing and interviews , which explains how many weight they have lost in so little time .",dangerous,4
845,"I am personally particularly against this type of advertisements , because it is no more a matter of buying a television or a fridge which does not function , but rather a matter of health , which is much more important and has to be avoided .",,
846,"In conclusion I think that the only function of advertisement should be that of making the consumer aware of the creation of a new product and not to overwhelm him with false and useless information , although the consumer should be however critic .",overwhelm,28
847,How many times have you got deceived by commercials ?,,
848,How many times have you regreted buying things you saw on commercials because they were not as good as they seemed ?,,
849,I am sure that this happened to many of you .,,
850,I think that commericals always inflate what products really are .,inflate,5
851,There are many products which are not good and have lots of commercials .,,
852,"On the other hand , there are many products that donotdo much advertisement which are much better than products which advertise all the time .",,
853,So a product having many advertisements doesnotnecessarily mean that the product is good .,,
854,I can speak about this out of experience .,,
855,I once saw an advertisement on the television about a solution that removes all types of stains .,,
856,I was so thrilled by the advertisement that I bought one for me and one for my sister .,,
857,One day my friend came to my house and she spilled blueberry juice on her white shirt .,,
858,I proudly got the solution and rubbed it on the stain as instructed .,,
859,"Shockingly , I figured out later that the more I rubbed the more the stain spread .",,
860,I was very embaressesed from my friend who had to throw her shirt after that day .,throw,10
861,"In addition , a lot of the things mentioned in advertisements are incorrect .",,
862,I once saw a toothpaste commercial that stated that this toothpaste gives twelve-hour protection to the teeth from decay and plaque .,,
863,"As a dentist , I knew that this didnotmake any sense .",,
864,There is no such thing as twelve-hour protection .,,
865,It is well-known that plaque starts growing on teeth right after you brush them .,,
866,"Unfortunately , false advertisements lead to a waste of money and loss of trust between customers and sellers .",lead;waste;loss,4;7;11
867,"Therefore , I think that there should be a commitee to supervise what is being mentioned in advertisments .",,
868,Some people say that young people enjoy life more than older people do .,,
869,"However , where I live , older people are very healthy and active than they used to .",,
870,"In my opinion , older people enjoy more life than younger people do .",,
871,"The first reason of this is that because older people have more time and money than their counterpart , they can do a lot of activities they want to .",have,10
872,"For example , my parents are both retired .",,
873,They have a lot of free time than I have .,have;free;have,1;5;9
874,"In addition , they worked for more than 35 years , so they have a large amount of money they can spend .",,
875,That s why they travel almost once a month across my country and they have already visited all the prefectuers in my country .,,
876,"On the contrary , I have to work every day and I have less available time and money since I got a job last year .",have;less;available,12;13;14
877,I was not able to go somewhere even in summer vacation .,,
878,"Another reason is that young people have more concerns about their futures , compared to the optimistic opinions showed by older people , which leads to the young people s negative ideas about their lives in general .",have;leads,6;24
879,One illustration that makes this clear is that most of the young people concerns about their pensions they will receive in the future .,,
880,"Now that the aging society in my country is getting serious , young people may not receive enough money to live on after their retirement .",on,21
881,"Therefore , most of them have to save money for their future lives and they can not afford to enjoy their present lives .",,
882,"My consideration with respect to the available time and money as well as the negative ideas about future lives , I think that older people enjoy life more than younger people do .",available,6
883,"In my opinion most advertisements make products seem much better than they really are , but I think it s the marketing way .",,
884,"It s absolutely compressible that a company wants seem an his product better than it really is ; a company , in fact , have to see multiple factors , like for example the actractivity of the market , the other concurrent companies and in this situation the impact with the customers is fundamental .",actractivity;impact,34;48
885,"We can think , to understand the concept , how much advertisement is watched on tv ; if a message is received from a lot of people , a certain product can be buyer from a large part of the population .",,
886,"Probably this way is not ethically correct ; a person can be fascinated from a particular type of product , after the view of the advertisement , and then he can discover that this product is not what he expected .",,
887,"But I repeat that this is the market law , so the companies canotmake in other terms .",law,8
888,I think the positive way of this process is that a good product can have a lot of visibility wih the advertisement .,visibility,18
889,"My mind goes , for example , to Linux , an alternative software ; most of IT s experts say it s better then Windows , but it doesnothave the necessary visibility and many other factors : for example Linux is not organized as a company like his concurrent to fight it .",goes;visibility;fight,2;33;52
890,"In many cases I have choosen a product for the fantastic advertisement of that product ; I like very much Coca - Cola , I ever buyer it , probably I d prefer Pepsi , but I have never buyer it , because I m a fanatic customers of Coke , in part for his beautiful advertisements , that remind me when was a cold .",fanatic,46
891,"In other words , a lot of advertisements can decide the consumption of a produc",,
892,i agree that is most advertisements make products seem much better than they really are .,,
893,"for example last week i saw an advertisement about soup for cleaning the car , they said it w ll clean any think including hard spots so i try that products and it doesn do any thing for my car , may be the normal soup is better than this products .",,
894,"another advertisement was talking about some food and they say it is very healthy and good for your body do i buy it too , but after i try it i dont thing i feel any changes .",talking,3
895,and there is some products for a fat peoples they said it w ll make you lose wight and make you thinner but alot of peoples try thats products and didnotlose any wight .,,
896,but some times there a honest advertisments .,,
897,for example there was an advertisement about some food and they challenge any one who can prove that is the product has any unnatural products so when some peoples do some tests for this product they say it was true the product does not contain any unnatural products .,,
898,"but the we canotsay about advertisements always make thair products better than they really are and in the same time we can not say the opposite because we have the to faces , honest advertisements and dishonest advertisements .",faces,33
899,"therefore , i thing that back for the persons experians and what he belive in and if the products equal the big advertisment they have so donotbelive any thing you each because some time you just each a mine of layers from this company .",,
900,I sincerely can t say if I totally agree or disagree with this statement and I ll try to explain why .,,
901,"Ideas and concepts are the base for a theory or a sociological movement , but if you don t remember facts , date and names to expose in a discussion , how can you explain or make other people s ideas changing ?",base,5
902,In this statement there s the same topic of difference between theory and experience .,,
903,"I am an Engineer , so I studied a lot of theory and was very important for me to understand concepts before learning facts .",,
904,But as I saw in my life everything must pass thru practice to really understand the value and the importance of lots of theories studied in the past .,pass;thru,9;10
905,Just think about Newton s discovery of gravity .,,
906,If I should explain people how do work all the forces interested in that phenomenon it would take much more time than making an experiment of an object maybe an apple !,forces,10
907,falling down to the ground .,,
908,Surely now that I ve practiced the theory I can better understand all the concepts behind the main idea .,behind,15
909,This scientific method I think it can be applied to every field of culture and maybe to lifestyles .,,
910,I can bring another simple example of what I mean about the difficult to agree or disagree with that statement and the differences between learning facts and understanding concepts .,,
911,"In history there was a lot of important facts and if we don t try to study and understand the psychology behind some characters of an event , we can t surely have an our own opinion about it : so we see that are important the ideas .",behind,21
912,"But if we don t care about the timeline in which the facts happened we risk to lose the most important informations of when , where they happened !",lose,17
913,Just think about the Wars .,,
914,"Are important theories , ideals , and strategies as well as the dates in which the wars started and ended .",,
915,I totally disagree with the idea that it is more important for students to understand ideas and concepts than to learn facts .,,
916,Surely it is useful and necessary to have knowlege of ideas or concepts when a student claims his her ideas .,,
917,"However , I do not think studying and understanding them is more important to learn facts .",,
918,I am from Japan .,,
919,I studied the soil democracy and neo liberal in Japan .,,
920,Then I believed Japan need to adapt the policy of soil democracy like many European countries because recently the employment in Japan have been unstable although Japanese MNCs have increased thier sales and government has decreased the corporation tax .,unstable,24
921,So I believed the welfare system in Europe is better than American small government and strong capitalism .,small;strong,12;15
922,So I came to Europe to study the politics in Europe .,,
923,"However , in Europe I found what I studied in Japan about European society , philosophy and the principle of politics is different from the reality in the society .",,
924,In the theory each person has same right under the law but one day I saw the situations where two black men were rejected by the shop to enter in UK .,under,8
925,Thier behaviors were not problem at all .,,
926,"In Europe I found that if the government try to protect the people s lives , people are not independent about thier lives .",protect,10
927,Also people become intolerant to foreigners .,,
928,The society do not tend to give the oppotunity to foreigners because the government or worker unions give much regulations about employments to the companies so that the rate of umemployment in many European countries are higher than the United States or Japan .,,
929,So there is less chance for me .,,
930,"Besides , I lost many desires to work or study in Europe because many people are so easy going about life because thier lives are protected by the government .",lost;easy;going;protected,3;17;18;25
931,"In addition , at the this christmas vacation , I visited NY .",,
932,Then I felt absolutely comfortable .,,
933,Because Americans whom I talked with are more used to the different culture so that I could feel I am just one of people .,,
934,Also the society inspired me to work in the United States .,,
935,"It was so shocking experience for me because when I had studied political philosophy in Japan , I believed that the social democracy is necessary for Japan .",shocking,3
936,"However , to be honest I feel so uncomfortable in Europe by the facts that I found or experiences that I have learned in Europe .",,
937,"So in conclusion , I strongly disagree with the idea that understanding the concepts or ideas is important than learing the facts .",strongly,5
938,I should have studied in the United States not in Europe .,,
939,I can not deny the fact that some advertisements make products seems much better that they really are .,,
940,"For example , since online shopping is getting more and more common , sometimes I have to buy things only judging from the information provided by the advertisement , and I received a completely different thing from what I expected from the advertisement .",judging,20
941,"However , consumers are getting smarter , too .",,
942,There are many advertisements that shows the real information by various methods .,,
943,There are various types of methods used for advertisement that provide real information .,,
944,"For example , the company provide samples of the products to allow consumers to experience them .",,
945,"With this method of advertisement , the consumers actually use the products by themselves , and they can make a decision to buy it or not .",,
946,It is a good example to allow the consumers to get the real impression of the products .,get,10
947,Another example is that some advertisements provide statistical information .,,
948,The advertiser conducts a marketing research of their own products to show the users impressions or customer satisfaction .,,
949,"In this way , the consumers can get the reliable information of what the users actually thought of the products .",,
950,"Finally , there are many advertisements that a sales representative actually demonstrate how to use the product .",,
951,"The consumers can ask questions about the product at the site , and the sales person answers information of what the customers really need with showing the products .",,
952,"Since the customers are actually looking at the product , it is possible for the consumers to get real information .",,
953,"As a result , customers know that advertisements have a tendency to promote only their good sides , and companies know that it is not enough only to provide good images .",sides,16
954,There are many methods of advertisement that allows consumers to obtain useful information that represents the actual products .,,
955,Many people might find specialization a convincing and advanced position especially in the modern business world .,advanced;position,8;9
956,"It appears to me , however , that those who have broader knowledge of many academic subjects , who might be called generalist , will be getting more and more important .",broader,11
957,"I work in one of the biggest banking groups in Japan , which includes more than 30000 permanent employees and over 10000 part-time employees .",,
958,"Generally speaking , the products and services that a bank provides require high-level and specialized knowledge , particulary in the stage where those products and services are developed and organised .",,
959,"However , those are not provided not only for professionals within the same industry but also for ordinary people who do not have any special know-how or skills of financial instruments .",,
960,"In this marketing stage , the importance of those who have broad knowledge of many academic subjects can be clearly identified , because such people have a variety of perspectives based on the academic backgrounds and can approach the possible customers from various angles .",broad;perspectives;backgrounds;approach;angles,11;29;34;37;43
961,This is one of the most important elements in promoting and enhancing business .,,
962,"Secondly , according to my business experience , I would like to stress that good managers in an organization often have various academic backgrounds as well as a variety of business experience .",,
963,I am not saying that a specialist who concentrates on one specific subject can not be a good manager .,concentrates,8
964,"However , in most cases , it is the fact that senior managers need to cover extremely wide range of business area .",cover;wide;area,15;17;21
965,"In this context , a company is highly likely to regard those who have broad knowledge based on many academic subjects as potential candidates for good managers or , finally , future board members .",broad,14
966,"In the reasons stated above , I believe those who have broad knowledge of many academic subjects are more highly appreciated than are those who specialize in one specific subject , especially in the future business world .",broad,11
967,I agree to the idea that young people nowadays do not give enough time to helping their communities .,give,11
968,"There are three reasons supporting my idea ; no free time for young people , no space for them to help the society , and lack of relate experience with others .",supporting;free;space,4;9;16
969,"First of all , the young people seem losing their free time .",losing;free,8;10
970,"Since now is the competing era , they need to work as hard as they can to get the good education , which suppose to give them the better future .",competing;era;give,4;5;25
971,"Therefore , young people , including children , are expected to spent as much time as they can make for the prepartion for the coming test .",spent,11
972,"Increasing in number of the cram school , especially the one for young people , creamy shows the fact that many young people are spenting most of their time to study .",spenting,24
973,"Thus , there will be no time for them to help their community .",,
974,"Second , there are no space or role for them to help the society .",space;role,5;7
975,"Nowadays , there are so many crimes that are done by young people .",,
976,"Therefore , people are suspecting on the young people .",,
977,"As a result , even young people willing to help the society , limited spaces are available for them .",limited;spaces,13;14
978,"For example , if the students want to help to wipe off the snow in the deep-snow city , they are checked their name , and school they are going before they can help .",,
979,"If the school is one of that lower level school , they will not be able to help them because of the possibility that the one will cheet the community .",lower;level;cheet,7;8;27
980,"As a result , we can say that even young people want to help the society , the society reject them .",reject,19
981,"Finally , young people lose their chance to have the experience of good co-relationship with others .",lose,4
982,"Because of the lower rate to get job , people are competing all the time ; there are many enemys for the young people .",competing;enemys,11;19
983,"As a result , having good relationship with others , the core idea of helping the community , is hard task for them to think about .",core;task,11;20
984,"If they can not feel the importance of helping each other , they will not think to spent their little free time to help their community .",feel;spent;free,4;17;20
985,"In conclusion , because they are busy , are rejected by society , and have no such idea as correlation with others , young people are not helping their communities , in my point of view .",rejected,9
986,All of those factors are strongly connected for the,strongly,5
987,Travelling is one of most exciting things to do on a holiday .,,
988,"When I have the time , I like to travel alot .",,
989,"I have visited India , Gift , and Morocco .",,
990,There are some difficulties that you might encounter during a vacation .,,
991,For that reason i think that its best to be in a group or to have a tore guide .,,
992,"First , you may have difficulties finding the right place that you want to be in .",,
993,"For example , you might want to visit a certain mall or a mounted but you can not find where it is .",,
994,"More often , you may get lost in the new country .",new,9
995,A tore guide will organize your trip and make your vacation more enjoyable .,,
996,"Second , you may have difficulties with a foreign language or culture .",,
997,"For example , a certain sign in one culture may be offensive in an other culture .",,
998,"Also , a certain word in one culture maybe offensive in an other .",,
999,Having a true guide will avoid you this problems and will help you with the language and the culture .,,
1000,"Third , you maybe defraud by other people in a new country or someone may steal your things .",new,10
1001,"For example , I went two years ago to Morocco .",,
1002,While i was there someone tried to steal my bag and passport .,,
1003,Quickly he failed to do so .,,
1004,Seeing in a group and having a tore guide will be most benefical in that case .,,
1005,"The tore guide will avoid places where you might get hurt in , Also , will make sure that you stay in the most comfortable places .",,
1006,"In conclusion , i think that having a tour guide is very important .",,
1007,"First , a tore guide will help to go wherever you want in the most comfortable ways .",comfortable,15
1008,"Second , a tour guide will help you deal with the new culture and language .",deal;new,8;11
1009,"Third , a tour guide will keep you save in any case .",,
1010,"In my opinion , is better to have broad knowledge of many academic subjects instead of a specialization in one of them .",broad,8
1011,"I say this because I think that is the best solution in order to find a work in today s society , where companies are continously on change and require a huge flexibility and adaptability for the new works .",flexibility,32
1012,"According to this , school must provide to give a radical instruction , teaching many different subjects .",provide,6
1013,"In this way , each student will have a quite complete background in the field he choose .",complete,10
1014,"I think that also specialization is important for work , of course , because it implies that a person is really good on doing something specific .",,
1015,"But I also think that an high level of specialization could be reached only with years and years of study and work , and school canotgive this opportunity to everybody .",high;level;reached;give,6;7;12;27
1016,"An example : I study design , but lots of kind of designs .",,
1017,"Interior design , virtual design , graphic design and much more .",,
1018,But what I really like to do is Web design .,,
1019,"So , school gives me first the opportunity to learn about different times of design and , second , to understand which is the best for me .",gives,3
1020,"After the school I can specialize myself in Web design by work , because I have a radical preparation that school gave me , and , in the same time , the other students in my class could choose another specialization , according to their preferences .",gave,21
1021,"This model of teaching subjects gives lots of advantages , because it isnotneither rigid nor boring .",model;gives;rigid,1;5;15
1022,"It gives anyone the possibility to choose , without create limits .",gives;limits,1;10
1023,"Academic subjects are only the start up of the student s working life , that he can and must develope in his career .",start;up,5;6
1024,"But at the same time they are very important , because allow the student the opportunity to understand what he really like to do in his future .",,
1025,I agree with that people had better have broad knowledge of many academic subjects .,broad,8
1026,There are two reasons .,,
1027,"First , it make people who do not have broad knowledge oto have difficulties in the companie or society .",broad,9
1028,"When we get jobs or enter the schools , we have oppotunities of talking with many people .",,
1029,"At the time , However , we have only one specific knowledge , for example the knowledge about mathematics , we can speak only about mathematics .",,
1030,It has possibility of giving other people the impression that you are boring person .,,
1031,It is very dagerous and we may be not able to lead a nice our lives in the society .,dagerous,3
1032,"Second , to studying one specific subject make your future very narrow one .",narrow,11
1033,"For example , when the person who have been studying the mathematics in order to be a professor changes his or her mind and the person want to be a animal doctor , what the person should do ?",,
1034,He or she has the knowledge only about mathematics so he or she can not change his or her future job now .,,
1035,The person who have studied only one specific subject can not change or decide their future again once they decided thier future in thier childhood .,,
1036,"In conclusion , to specialize in one specific subject have dagerousness possibilities in deciding of the futures .",dagerousness,10
1037,"Therefore , I agree with the former statement .",,
1038,I believe that in twenty years there will be fewer cars in use than there are today because using cars could pollute the environment and makes people have less oppotunities to exercise .,,
1039,Using cars could hurm and reduce nature that we live in and is essential for us to live .,hurm;reduce,3;5
1040,"As a lot of people know , driving cars could make CO2 , which is found to raise the temperature of earth .",,
1041,"In the fact , CO2 is considered as one of fron gas that could cause Greenhouse Effect .",Greenhouse,15
1042,This is a effect that fron gases that we use in our every day lives cover the earth and prevent it from releasing the heat from the sun to the space .,cover,15
1043,"It is the fact that the the temperature of the surface of the earth is more and more raising today , which already causes floods or droughts .",,
1044,"The act that is producing CO2 is actually said that driving car , so if use keep using them and producing CO2 , we do not know how much it is going to affect on the environment negatively .",,
1045,"Therefore , we have to come up with better rides other than cars .",,
1046,More and more people have less oppotunities to exercise because of cars .,,
1047,"Nowadays , there are lot of people who do not exercise enough and who eat junk food like humbergers or pizza .",junk,15
1048,I understand that people are too busy working or going to schools beacuse they have to arm money for their families and to study to learn a lot of things which are good for them .,,
1049,"However , eating junk food and not exercising surely kill themselves .",junk;kill,3;9
1050,I know a person who uses his car when he goes to a grocery store to get food although it is just 5 minutes far from his house .,,
1051,"I strongly think that he can walk , no , he has to walk .",strongly,1
1052,"If everybody rides a car wherever he or she goes , they are surely going to be out of shape and get diseases like heart attack or diabetes .",out;of;shape,17;18;19
1053,I believe that we should use less cars and walk or ride buckles if the directions are not so far away from we we are .,,
1054,There are two reasons why people use less car .,,
1055,One is that using car could harm the earth because of CO2 that car produce .,harm,6
1056,The other one is because using cars make people have less oppotunities to exercise .,,
1057,I agree with the sentence that most advertisements and most negative spots make products seem much better than they really are .,spots,11
1058,This is real for lots of reasons .,,
1059,"Firstly , a company which product a good or a service want always show the best in its business expecially when it want to compete with another group wich sell to people the same article .",,
1060,"For this reason they often tell people lies about their good through television , city posters or magazines and people trust it , but when someone buys their famous thing , is not really how they describe to us !",,
1061,"For example , one day my mother had decided to buy an hair-pon which should resist to water and repared you from electrical waves but when it fall in the ground with some water drops she broke it .",resist;repared,15;19
1062,She was so scared !,,
1063,"Secondly , for new objects we have not the idea of the name of who product it .",,
1064,If I buy a Valentino s dress I think it would be better then an H M s one because the name is very important and show you the past of a work group .,,
1065,The companies which obtain the fame with their goods and their service have a best expectation in the consumer and the satisfaction of an expectation create fidelity in the buyer .,create,25
1066,"In conclusion , I think advertisements are often a lie or an enlargement of the real usefulness of an object but I think also that someone with their work have increase their fame in people in a good way .",enlargement,12
1067,We can say the most of the young people not all of them enjoy life more than older once .,,
1068,"The causes of that is that they do not bare big responsibilities on there shoulders , they are only responsible of themself and most of the time they can rely on the help of the parents if they are in trouble ; This category is composed mainly composed of high school or university students .",bare;big;shoulders;rely;in,9;10;14;29;39
1069,"And an important factor that young s tend to explore life more , try new experiences , go places they never visited .",explore,9
1070,"An important factor also is the biological factor , young people have the energy to try new stuff and enjoy there life to the max .",have;max,11;24
1071,"In the opposite , old people mostly have big responsibilities .",big,8
